iter	RMSE
0	3741.714533
1	3574.154274
2	3414.457422
3	3261.954765
4	3120.372504
5	2984.41374
6	2854.68333
7	2732.890562
8	2616.073747
9	2506.942916
10	2404.132039
11	2304.910237
12	2212.048129
13	2124.033907
14	2040.925406
15	1961.115249
16	1886.761571
17	1816.171484
18	1750.098454
19	1687.236716
20	1629.06651
21	1573.63976
22	1521.843976
23	1472.630776
24	1426.549204
25	1383.424398
26	1342.321751
27	1303.771305
28	1267.968917
29	1234.279144
30	1202.728806
31	1172.894637
32	1144.980643
33	1119.312978
34	1095.398844
35	1072.738494
36	1051.086131
37	1030.840653
38	1011.823001
39	994.5609244
40	978.7620492
41	964.0827633
42	950.6930616
43	938.3240824
44	926.7075754
45	915.6324709
46	905.3543999
47	895.271787
48	886.5334543
49	877.8811202
50	870.6054678
51	862.9159035
52	856.1697381
53	849.6648922
54	843.9314366
55	838.6330131
56	833.4873032
57	828.315203
58	824.1064235
59	819.9077929
60	815.8293502
61	811.8515819
62	808.1177133
63	804.4370519
64	801.7704608
65	798.8720131
66	796.4138517
67	793.7705577
68	791.2914448
69	789.3540692
70	786.9426447
71	784.7235201
72	782.7170801
73	780.8326313
74	778.7469331
75	777.124243
76	774.0851893
77	772.479028
78	770.380312
79	768.8129568
80	767.4211987
81	766.0067029
82	764.4621921
83	762.5810553
84	761.5177356
85	760.3814368
86	759.4960607
87	757.6750433
88	756.7573241
89	755.7651974
90	754.8689114
91	753.874818
92	753.0296115
93	752.2408182
94	751.3388374
95	750.4499363
96	749.528806
97	748.7240455
98	748.0406361
99	747.4412241
100	746.5821782
101	745.8729443
102	745.2771628
103	744.6226943
104	743.7166543
105	743.1189184
106	742.6525834
107	742.0705294
108	741.592809
109	741.0957819
110	740.2007782
111	739.8368911
112	738.7524053
113	738.3772464
114	737.6213457
115	736.8862944
116	736.2115489
117	735.9869616
118	735.514077
119	734.8459582
120	734.4126984
121	733.9238455
122	733.5617242
123	733.094153
124	732.643002
125	731.765117
126	731.0992663
127	730.5754307
128	730.0666542
129	729.6250736
130	728.7372852
131	728.3490293
132	728.0367005
133	727.4550746
134	726.6599877
135	726.2723961
136	725.7901333
137	725.301546
138	724.9765523
139	724.614054
140	724.3830119
141	723.8551915
142	723.5782651
143	723.0932381
144	721.9488523
145	721.4641684
146	721.0286161
147	720.4215691
148	719.8573538
149	719.2653318
150	718.383703
151	717.8726611
152	717.1081744
153	716.6930883
154	716.4189597
155	716.0868266
156	715.4615099
157	714.7494053
158	713.8552248
159	713.4585056
160	713.2293404
161	712.6089286
162	712.1046644
163	711.6080185
164	711.016329
165	710.6649285
166	710.0776365
167	709.6399276
168	709.1224397
169	708.1442393
170	707.130451
171	706.7120412
172	706.4778925
173	705.7273455
174	705.2500223
175	704.649425
176	703.7725541
177	702.9313865
178	702.2736386
179	701.8085977
180	700.9763952
181	700.2246337
182	699.8337545
183	699.2824818
184	698.6052689
185	698.350079
186	697.9476726
187	697.5524436
188	696.6963772
189	696.4337804
190	696.0952099
191	695.6385329
192	695.2854498
193	694.8876704
