iter	Passed	Remaining
0	191	95804
1	238	59440
2	285	47249
3	335	41557
4	377	37383
5	422	34822
6	467	32921
7	510	31379
8	552	30130
9	594	29152
10	641	28500
11	684	27835
12	730	27352
13	772	26828
14	816	26395
15	861	26056
16	905	25719
17	948	25389
18	994	25188
19	1042	25025
20	1091	24897
21	1135	24666
22	1179	24459
23	1224	24292
24	1269	24122
25	1313	23953
26	1355	23748
27	1399	23584
28	1441	23419
29	1488	23326
30	1532	23180
31	1576	23057
32	1618	22907
33	1661	22770
34	1708	22695
35	1751	22581
36	1795	22470
37	1839	22365
38	1883	22266
39	1929	22186
40	1972	22084
41	2015	21981
42	2065	21954
43	2113	21899
44	2157	21813
45	2201	21723
46	2243	21622
47	2291	21574
48	2332	21470
49	2376	21392
50	2419	21304
51	2465	21242
52	2508	21155
53	2552	21083
54	2596	21010
55	2639	20924
56	2683	20858
57	2726	20776
58	2770	20709
59	2813	20633
60	2853	20534
61	2898	20477
62	2940	20395
63	2985	20335
64	3031	20290
65	3082	20268
66	3125	20201
67	3169	20135
68	3207	20036
69	3250	19966
70	3287	19866
71	3331	19803
72	3377	19754
73	3417	19674
74	3458	19598
75	3496	19506
76	3543	19465
77	3587	19409
78	3629	19344
79	3674	19290
80	3716	19225
81	3756	19149
82	3797	19080
83	3839	19012
84	3883	18958
85	3925	18894
86	3965	18822
87	4008	18766
88	4055	18729
89	4098	18673
90	4140	18611
91	4182	18550
92	4226	18494
93	4269	18440
94	4312	18383
95	4350	18307
96	4390	18242
97	4432	18181
98	4469	18103
99	4514	18059
100	4551	17981
101	4595	17931
102	4639	17880
103	4679	17819
104	4722	17767
105	4768	17726
106	4805	17651
107	4849	17602
108	4892	17551
109	4936	17502
110	4980	17453
111	5028	17420
112	5078	17393
113	5126	17357
114	5169	17307
115	5212	17254
116	5254	17201
117	5298	17153
118	5335	17084
119	5382	17043
120	5424	16990
121	5466	16937
122	5508	16884
123	5551	16834
124	5593	16781
125	5634	16723
126	5677	16674
127	5719	16622
128	5762	16573
129	5805	16522
130	5846	16468
131	5891	16425
132	5938	16387
133	5981	16337
134	6017	16270
135	6067	16239
136	6110	16190
137	6157	16151
138	6199	16101
139	6241	16049
140	6282	15995
141	6325	15946
142	6369	15900
143	6410	15849
144	6451	15794
145	6492	15741
146	6536	15696
147	6581	15653
148	6625	15606
149	6667	15557
150	6709	15507
151	6750	15454
152	6796	15413
153	6840	15367
154	6885	15326
155	6927	15275
156	6970	15228
157	7020	15196
158	7065	15153
159	7107	15103
160	7149	15053
161	7186	14993
162	7230	14949
163	7278	14911
164	7319	14860
165	7362	14813
166	7403	14763
167	7446	14716
168	7486	14663
169	7532	14622
170	7574	14572
171	7618	14527
172	7661	14481
173	7704	14434
174	7748	14390
175	7791	14343
176	7834	14297
177	7880	14255
178	7921	14205
179	7963	14157
180	8005	14109
181	8057	14078
182	8103	14037
183	8148	13993
184	8186	13938
185	8225	13885
186	8265	13835
187	8308	13788
188	8347	13736
189	8394	13695
190	8437	13650
191	8479	13601
192	8520	13552
193	8565	13510
194	8606	13461
195	8644	13408
196	8687	13362
197	8729	13314
198	8773	13270
199	8815	13223
200	8859	13179
201	8926	13168
202	8977	13134
203	9029	13100
204	9075	13059
205	9115	13009
206	9163	12971
207	9204	12922
208	9247	12875
209	9288	12827
210	9335	12786
211	9378	12740
212	9420	12693
213	9464	12649
214	9503	12597
215	9546	12552
216	9591	12508
217	9636	12465
218	9680	12420
219	9720	12371
220	9757	12318
221	9799	12270
222	9842	12225
223	9885	12180
224	9929	12136
225	9974	12092
226	10011	12040
227	10057	11998
228	10100	11952
229	10140	11904
230	10183	11858
231	10220	11805
232	10260	11758
233	10303	11711
234	10350	11671
235	10391	11624
236	10422	11566
237	10465	11521
238	10511	11478
239	10550	11430
240	10569	11358
241	10612	11314
242	10656	11270
243	10689	11215
244	10733	11171
245	10777	11128
246	10822	11085
247	10864	11039
248	10908	10996
249	10950	10950
250	10994	10906
251	11045	10869
252	11089	10826
253	11127	10776
254	11167	10729
255	11202	10677
256	11241	10628
257	11287	10587
258	11331	10544
259	11378	10503
260	11421	10458
261	11465	10415
262	11506	10369
263	11550	10325
264	11592	10280
265	11633	10234
266	11680	10193
267	11721	10146
268	11766	10104
269	11805	10056
270	11839	10004
271	11884	9961
272	11928	9918
273	11965	9869
274	12014	9829
275	12060	9788
276	12104	9744
277	12148	9701
278	12188	9654
279	12236	9614
280	12281	9571
281	12323	9526
282	12345	9466
283	12390	9423
284	12430	9377
285	12474	9334
286	12520	9292
287	12564	9249
288	12609	9206
289	12657	9165
290	12703	9123
291	12749	9081
292	12793	9038
293	12830	8990
294	12874	8946
295	12918	8902
296	12961	8859
297	13008	8817
298	13046	8770
299	13078	8718
300	13121	8675
301	13167	8633
302	13204	8585
303	13250	8543
304	13294	8499
305	13327	8449
306	13370	8405
307	13414	8362
308	13446	8311
309	13484	8264
310	13527	8221
311	13571	8177
312	13616	8135
313	13663	8093
314	13704	8048
315	13742	8001
316	13789	7960
317	13833	7917
318	13866	7867
319	13911	7825
320	13957	7782
321	14005	7742
322	14055	7702
323	14100	7659
